DeltaQvar,cycleLife
9.69337E-06,2160
3.61261E-05,1434
6.63066E-05,1074
0.000153797,870
7.13737E-05,788
9.60474E-05,719
0.00010722,857
0.000240175,788
0.000446783,559
0.000115285,1017
0.000160404,870
0.000143127,860
0.000180192,709
0.000225928,731
0.000141846,742
0.000214256,704
0.000369306,617
8.81499E-05,966
0.000216062,702
0.000379957,616
0.001797717,327
0.000321496,465
0.000445071,472
0.000570223,546
0.000344918,506
0.000654058,521
0.000372772,526
0.000483537,490
0.000297782,521
0.000297972,563
0.00035316,488
0.000274553,496
0.000195673,523
0.00023625,520
0.000207403,547
0.000325284,487
0.000300122,503
0.00031249,481
0.000364211,453
0.00040315,488
0.000205124,515
