Year,MtAiry,Charl
1937,23.97,26.39
1938,23.76,25.98
1939,24.36,26.58
1940,23.37,26.04
1941,23.7,26.64
1942,24.27,26.94
1943,25.21,27.1
1944,23.81,26.2
1945,23.69,26.28
1946,22.85,25.81
1947,23.46,25.5
1948,23.48,26.27
1949,24.06,26.37
1950,22.92,26.13
1951,23.97,26.3
1952,24.84,27.3
1953,24.16,25.94
1954,24.06,27.14
1955,23.53,25.73
1956,23.49,25.93
1957,23.3,25.78
1958,23.72,26.27
1959,23.82,25.21
1960,23.59,26.24
1961,22.69,25.97
1962,22.83,25.95
1963,22.95,26.65
1964,23.16,26.22
1965,22.71,25.82
1966,23.17,25.44
1967,22.32,25.73
1968,23.5,26.81
1969,23.77,26.73
1970,23.5,26.94
1971,23.01,26.71
1972,22.3,25.68
1973,23.42,27.06
1974,22.56,25.35
1975,23.69,26.51
1976,22.71,25.55
1977,24.3,27.84
1978,23.97,26.85
1979,22.67,26.53
1980,24.35,27.21
1981,24.51,27.87
1982,23.57,26.66
1983,24.22,27.17
1984,23.35,26.63
1985,23.17,26.73
1986,24.52,28.03
1987,25.02,27.88
1988,24.39,26.76
1989,23.69,27.38
1990,23.91,27.98
1991,23.9,27.51
1992,22.62,27.04
1993,23.88,27.98
1994,23.16,26.99
1995,23.15,27.48
1996,22.55,26.45
1997,21.89,25.68
1998,23.07,28.1
1999,23.04,27.06
2000,22.59,26.93
2001,22.5,26.59
2002,23.22,26.86
2003,22.26,26.94
2004,22.27,27.1
2005,23.27,27.46
2006,23.22,27.26
2007,23.45,27.21
2008,22.73,27.32
2009,22.63,27.29
2010,24.3,28.4
2011,24.21,28.55
2012,23.2,26.7
2013,22.85,27.29
2014,22.49,28.15
2015,23.8,27.93
2016,23.9,28.94
2017,22.65,27.06
2018,23.35,27.94
2019,22.85,27.4
2020,23.26,27.3
2021,23.35,26.76
