STATE,PAY,SPEND,AREA
ME,19583,3346,NE/NC
NH,20263,3114,NE/NC
VT,20325,3554,NE/NC
MA,26800,4642,NE/NC
RI,29470,4669,NE/NC
CT,26610,4888,NE/NC
NY,30678,5710,NE/NC
NJ,27170,5536,NE/NC
PA,25853,4168,NE/NC
OH,24500,3547,NE/NC
IN,24274,3159,NE/NC
IL,27170,3621,NE/NC
MI,30168,3782,NE/NC
WI,26525,4247,NE/NC
MN,27360,3982,NE/NC
IA,21690,3568,NE/NC
MO,21974,3155,NE/NC
ND,20816,3059,NE/NC
SD,18095,2967,NE/NC
NB,20939,3285,NE/NC
KA,22644,3914,NE/NC
DE,24624,4517,South
MD,27186,4349,South
DC,33990,5020,South
VA,23382,3594,South
WV,20627,2821,South
NC,22795,3366,South
SC,21570,2920,South
GA,22080,2980,South
FL,22250,3731,South
KY,20940,2853,South
TE,21800,2533,South
AL,22934,2729,South
MS,18443,2305,South
AR,19538,2642,South
LA,20460,3124,South
OK,21419,2752,South
TX,25160,3429,South
MT,22482,3947,West
ID,20969,2509,West
WY,27224,5440,West
CO,25892,4042,West
NM,22644,3402,West
AZ,24640,2829,West
UT,22341,2297,West
NV,25610,2932,West
WA,26015,3705,West
OR,25788,4123,West
CA,29132,3608,West
AK,41480,8349,West
HA,25845,3766,West
